Wavelength	Spectrum00000.asd	Spectrum00001.asd	Spectrum00002.asd	Spectrum00003.asd	Spectrum00004.asd	Spectrum00005.asd	Spectrum00006.asd	Spectrum00007.asd	Spectrum00008.asd	Spectrum00009.asd	Spectrum00010.asd	Spectrum00011.asd	Spectrum00012.asd
381	0.114245828867465	0.213572600257143	0.116054444756109	1.20895201188821E-02	7.05912235613501E-02	5.95604258266205E-02	5.59285161784134E-02	5.22519523457019E-02	7.19446096004716E-02	1.71033081438764E-02	0.113280273189714	8.61047348113446E-02	 6.88120713400648E-02 
382	0.114129322692859	0.213726754957217	0.115742370001177	1.21274729126843E-02	7.02174954065452E-02	5.95228709486916E-02	5.58268340412536E-02	5.22498788519028E-02	7.14924248132073E-02	1.70134527636867E-02	0.113525516125863	8.54882753120577E-02	 6.85759426635966E-02 
383	0.113336203764008	0.213167626246818	0.114988566331774	1.10742225089993E-02	6.91549827508732E-02	5.89335362932182E-02	5.52775884801668E-02	5.14503360152586E-02	7.02950187219877E-02	1.65958895418861E-02	0.113208434382173	8.40665023238414E-02	 6.78864487741582E-02 
384	0.11315922230659	0.212701419289049	0.115178857724401	0.010808096283293	6.91472587159786E-02	5.94493617085345E-02	5.58538348759592E-02	5.11756011602044E-02	6.96595175255483E-02	1.65630348427547E-02	0.113088571180933	8.37622756966638E-02	 6.76142462781252E-02 
385	0.112804288574867	0.212009576187349	0.115328016657748	0.010776029387229	6.89862442442048E-02	6.00709243916553E-02	5.61975470885089E-02	5.10844467459329E-02	6.88792355823383E-02	1.65132562666577E-02	0.112791753133193	8.36229176950097E-02	 6.70943073666563E-02 
386	0.112181204576953	0.211405148445214	0.115312631870277	1.08742185602365E-02	0.068588544263115	6.03058352445106E-02	5.60778068954684E-02	5.11885556856939E-02	6.80835208635699E-02	1.62800927314419E-02	0.11248893975795	8.35478893532859E-02	 6.63366029269545E-02 
387	0.111679547897104	0.212084538434294	0.115292012350991	1.07604327443588E-02	6.84958493881412E-02	5.98937523486257E-02	5.61135899019547E-02	0.051361577549118	6.77246740031327E-02	1.57316501657872E-02	0.112196464786929	8.33140335643367E-02	 6.62108459686436E-02 
388	0.111497775382683	0.213171493722526	0.115536157268642	1.05328392708421E-02	6.85702324379935E-02	5.97808339976752E-02	5.64615891650671E-02	5.16508486503098E-02	0.067514841916333	1.53867360254395E-02	0.111986300454722	0.083366921566095	 6.63991707232345E-02 
389	0.111986352266622	0.213976146724772	0.116448141095888	0.010758055400577	6.85921531481268E-02	6.07783007970229E-02	5.73418419457373E-02	5.19979753741498E-02	6.74396051850284E-02	1.58145554443694E-02	0.111840664721407	8.41527898561469E-02	 6.66075051671665E-02 
390	0.112575150455972	0.214614338785367	0.117220483552832	1.10929193181503E-02	6.85863864910767E-02	6.11558274024447E-02	5.77611754151971E-02	0.052420588758651	6.75452872411375E-02	1.59744458485484E-02	0.111129576237298	8.47851448579022E-02	 6.68606154490119E-02 
391	0.113049194263952	0.215143853727678	0.117599990091148	0.01138947782882	6.84688010541973E-02	6.10147809501821E-02	5.76496340960016E-02	5.29333841420916E-02	6.76624600099726E-02	1.56696606062697E-02	0.110124570299588	8.50477950882015E-02	 6.70926805547028E-02 
392	0.113344023453653	0.215731952302404	0.117935518515094	1.15939717548348E-02	6.84214874042121E-02	6.16718399937286E-02	5.80101484720087E-02	5.36916176041372E-02	6.76208812181792E-02	1.54590397877761E-02	0.109954242670157	8.48743927426229E-02	 6.73327512429382E-02 
393	0.113414508741563	0.215881841258422	0.118091699957631	1.16806165774015E-02	6.84693503711375E-02	6.24436780852589E-02	5.85960955392734E-02	5.41132690104618E-02	6.73071024638559E-02	1.54016679630751E-02	0.109718373429283	8.44375209951719E-02	 6.72531369529551E-02 
394	0.113022107576376	0.215673834152493	0.117862946054484	1.15644652605479E-02	6.85058041150339E-02	6.29653297826613E-02	0.059139233771014	5.39734650780505E-02	6.64314649504751E-02	1.53178891523459E-02	0.108976868214436	8.39655814021283E-02	 6.66777124281759E-02 
395	0.112269335793207	0.214877225446401	0.117566733508533	1.14614352653334E-02	6.81574574939956E-02	6.36825850018047E-02	5.97036875660717E-02	5.39104605674775E-02	6.55230808522251E-02	1.51613045942462E-02	0.108450788866194	8.29184689092025E-02	 0.065839554447161 
396	0.111400518606878	0.213792706180133	0.117261305520456	1.13869344081472E-02	0.067468935664168	6.44209130827449E-02	6.02128995916108E-02	5.40147711580124E-02	6.46479597523107E-02	1.49226335841538E-02	0.107982659108832	8.16754598414449E-02	 6.49338560764146E-02 
397	0.110703592829287	0.213279696312102	0.116841332067436	1.10105329317941E-02	6.67890649665749E-02	6.43871264772173E-02	6.03164569196135E-02	5.39947349622566E-02	6.35452797430758E-02	1.44763794353054E-02	0.1071733465618	0.081118062270553	 6.40555125301216E-02 
398	0.110525014264424	0.213324349402953	0.11693948658617	1.09411520031569E-02	6.65641527559771E-02	6.46800156488198E-02	6.07774437349119E-02	5.43074167222475E-02	6.29217512570641E-02	1.43526273525003E-02	0.106371214656172	0.081216863297744	 6.37781814936766E-02 
399	0.110872550668713	0.213835329600974	0.117597743334431	1.13161178280773E-02	0.066762399914609	6.54622517908513E-02	6.16479220740852E-02	5.48784137915918E-02	6.29518525119092E-02	1.45063210509186E-02	0.1054901539515	8.16764067706638E-02	 6.39791826198916E-02 
400	0.111058572575845	0.214581076639306	0.118147462694659	0.011462800834492	6.66135837637759E-02	6.57905705110756E-02	6.18661254742587E-02	5.54246924024854E-02	6.28024581822125E-02	1.41951325439469E-02	0.10454705256464	8.20311855818571E-02	 6.42416971543912E-02 
